organism	protein_cluster
1.136.O.	pvp1421
2.159.A.	pvp1421
2.159.B.	pvp1421
1.156.O.	pvp1421
1.217.O.	pvp1421
1.232.O.	pvp1421
1.219.O.	pvp1421
1.142.O.	pvp1421
2.095.A.	pvp1422
1.216.O.	pvp1422
1.178.O.	pvp1422
1.276.O.	pvp1422
1.213.O.	pvp1422
1.135.O.	pvp1422
1.265.O.	pvp1422
1.236.O.	pvp1422
2.095.B.	pvp1422
1.177.O.	pvp1422
1.137.O.	pvp1423
1.198.B.	pvp1423
1.198.A.	pvp1423
1.148.O.	pvp1423
1.110.O.	pvp1423
1.143.O.	pvp1423
1.119.O.	pvp1423
1.231.O.	pvp1423
1.276.O.	pvp1423
1.135.O.	pvp1423
1.097.O.	pvp1424
2.130.O.	pvp1424
1.238.B.	pvp1424
1.238.A.	pvp1424
1.245.O.	pvp1424
1.025.O.	pvp1424
1.152.O.	pvp1424
1.026.O.	pvp1424
2.275.O.	pvp1424
1.150.O.	pvp1424
1.093.O.	pvp1425
1.017.O.	pvp1425
1.094.O.	pvp1425
1.075.O.	pvp1425
1.030.O.	pvp1425
1.005.O.	pvp1425
1.164.O.	pvp1425
1.106.O.	pvp1425
1.009.O.	pvp1425
1.210.O.	pvp1425
1.206.O.	pvp1426
1.064.O.	pvp1426
1.242.O.	pvp1426
1.276.O.	pvp1426
1.189.O.	pvp1426
1.167.O.	pvp1426
1.189.B.	pvp1426
1.239.O.	pvp1426
1.189.C.	pvp1426
1.108.O.	pvp1426
1.132.O.	pvp1427
1.167.O.	pvp1427
1.233.B.	pvp1427
1.233.A.	pvp1427
1.182.O.	pvp1427
1.131.O.	pvp1427
1.116.O.	pvp1427
1.206.O.	pvp1427
1.239.O.	pvp1427
1.172.O.	pvp1427
1.228.O.	pvp1428
1.157.O.	pvp1428
1.116.O.	pvp1428
1.148.O.	pvp1428
1.110.O.	pvp1428
1.115.B.	pvp1428
1.115.A.	pvp1428
1.172.O.	pvp1428
1.029.O.	pvp1428
1.176.O.	pvp1428
1.243.O.	pvp1429
1.236.O.	pvp1429
1.115.B.	pvp1429
1.115.A.	pvp1429
1.193.O.	pvp1429
1.135.O.	pvp1429
1.023.O.	pvp1429
1.278.O.	pvp1429
1.038.O.	pvp1429
1.123.O.	pvp1429
1.122.B.	pvp1430
1.122.A.	pvp1430
1.247.A.	pvp1430
1.247.B.	pvp1430
1.275.O.	pvp1430
2.044.O.	pvp1430
1.262.O.	pvp1430
1.293.O.	pvp1430
1.013.O.	pvp1430
1.214.O.	pvp1430
1.122.B.	pvp1431
1.122.A.	pvp1431
1.247.A.	pvp1431
1.247.B.	pvp1431
1.187.O.	pvp1431
2.275.O.	pvp1431
1.170.O.	pvp1431
1.121.O.	pvp1431
1.013.O.	pvp1431
1.193.O.	pvp1431
1.134.O.	pvp1432
1.085.O.	pvp1432
1.110.O.	pvp1432
1.116.O.	pvp1432
1.189.C.	pvp1432
1.189.B.	pvp1432
1.189.O.	pvp1432
1.239.O.	pvp1432
1.172.O.	pvp1432
1.176.O.	pvp1432
1.104.O.	pvp1433
1.118.A.	pvp1433
1.118.B.	pvp1433
1.089.O.	pvp1433
1.237.B.	pvp1433
1.032.O.	pvp1433
1.171.O.	pvp1433
1.098.O.	pvp1433
1.237.A.	pvp1433
1.012.O.	pvp1433
1.118.A.	pvp1434
1.118.B.	pvp1434
1.024.O.	pvp1434
1.089.O.	pvp1434
1.237.B.	pvp1434
1.251.O.	pvp1434
1.237.A.	pvp1434
1.160.O.	pvp1434
1.098.O.	pvp1434
1.012.O.	pvp1434
1.089.O.	pvp1435
1.237.B.	pvp1435
1.032.O.	pvp1435
1.250.O.	pvp1435
1.024.O.	pvp1435
1.098.O.	pvp1435
1.160.O.	pvp1435
1.103.O.	pvp1435
1.237.A.	pvp1435
1.012.O.	pvp1435
1.089.O.	pvp1436
1.118.A.	pvp1436
1.237.B.	pvp1436
1.118.B.	pvp1436
1.022.O.	pvp1436
1.046.O.	pvp1436
1.098.O.	pvp1436
1.160.O.	pvp1436
1.237.A.	pvp1436
1.012.O.	pvp1436
1.193.O.	pvp1437
1.170.O.	pvp1437
1.063.O.	pvp1437
1.187.O.	pvp1437
1.161.O.	pvp1437
1.057.O.	pvp1438
1.044.O.	pvp1438
1.048.O.	pvp1438
1.043.O.	pvp1438
1.095.O.	pvp1438
1.107.B.	pvp1438
1.107.C.	pvp1438
1.102.O.	pvp1438
1.107.A.	pvp1438
2.044.O.	pvp1439
1.072.O.	pvp1439
1.066.O.	pvp1439
2.058.O.	pvp1439
1.004.O.	pvp1439
1.068.O.	pvp1439
1.037.O.	pvp1439
1.056.O.	pvp1439
3.058.O.	pvp1439
2.044.O.	pvp1440
1.072.O.	pvp1440
1.066.O.	pvp1440
2.058.O.	pvp1440
1.004.O.	pvp1440
1.068.O.	pvp1440
1.037.O.	pvp1440
1.056.O.	pvp1440
3.058.O.	pvp1440
2.044.O.	pvp1441
1.072.O.	pvp1441
1.066.O.	pvp1441
2.058.O.	pvp1441
1.004.O.	pvp1441
1.068.O.	pvp1441
1.037.O.	pvp1441
1.056.O.	pvp1441
3.058.O.	pvp1441
2.044.O.	pvp1442
1.231.O.	pvp1442
1.179.O.	pvp1442
1.257.O.	pvp1442
1.127.O.	pvp1442
1.143.O.	pvp1442
1.119.O.	pvp1442
1.254.O.	pvp1442
1.138.O.	pvp1442
2.044.O.	pvp1443
1.072.O.	pvp1443
1.066.O.	pvp1443
1.246.O.	pvp1443
1.037.O.	pvp1443
1.004.O.	pvp1443
1.068.O.	pvp1443
1.210.O.	pvp1443
1.056.O.	pvp1443
2.044.O.	pvp1444
1.273.O.	pvp1444
1.047.O.	pvp1444
1.225.O.	pvp1444
1.029.O.	pvp1444
1.144.O.	pvp1444
1.123.O.	pvp1444
1.197.A.	pvp1444
1.291.O.	pvp1444
2.058.O.	pvp1445
2.275.O.	pvp1445
1.245.O.	pvp1445
1.187.O.	pvp1445
1.063.O.	pvp1445
1.161.O.	pvp1445
1.121.O.	pvp1445
3.058.O.	pvp1445
1.193.O.	pvp1445
1.003.O.	pvp1446
1.039.O.	pvp1446
1.090.B.	pvp1446
1.079.O.	pvp1446
1.036.O.	pvp1446
1.091.O.	pvp1446
12G01.O.	pvp1446
1.067.O.	pvp1446
1.061.O.	pvp1446
1.003.O.	pvp1447
1.039.O.	pvp1447
1.090.B.	pvp1447
1.079.O.	pvp1447
1.036.O.	pvp1447
1.091.O.	pvp1447
12G01.O.	pvp1447
1.067.O.	pvp1447
1.061.O.	pvp1447
1.003.O.	pvp1448
1.036.O.	pvp1448
1.090.B.	pvp1448
1.039.O.	pvp1448
1.079.O.	pvp1448
1.091.O.	pvp1448
12G01.O.	pvp1448
1.067.O.	pvp1448
1.061.O.	pvp1448
1.003.O.	pvp1449
1.039.O.	pvp1449
1.036.O.	pvp1449
1.079.O.	pvp1449
1.090.B.	pvp1449
1.091.O.	pvp1449
12G01.O.	pvp1449
1.067.O.	pvp1449
1.061.O.	pvp1449
1.003.O.	pvp1450
1.090.B.	pvp1450
1.079.O.	pvp1450
1.039.O.	pvp1450
1.036.O.	pvp1450
1.091.O.	pvp1450
12G01.O.	pvp1450
1.067.O.	pvp1450
1.061.O.	pvp1450
1.003.O.	pvp1451
1.079.O.	pvp1451
1.039.O.	pvp1451
1.090.B.	pvp1451
1.036.O.	pvp1451
1.091.O.	pvp1451
12G01.O.	pvp1451
1.067.O.	pvp1451
1.061.O.	pvp1451
1.003.O.	pvp1452
1.039.O.	pvp1452
1.090.B.	pvp1452
1.079.O.	pvp1452
1.036.O.	pvp1452
1.091.O.	pvp1452
12G01.O.	pvp1452
1.067.O.	pvp1452
1.061.O.	pvp1452
1.003.O.	pvp1453
1.090.B.	pvp1453
1.039.O.	pvp1453
1.036.O.	pvp1453
1.079.O.	pvp1453
1.091.O.	pvp1453
12G01.O.	pvp1453
1.067.O.	pvp1453
1.061.O.	pvp1453
1.003.O.	pvp1454
1.039.O.	pvp1454
1.079.O.	pvp1454
1.036.O.	pvp1454
1.090.B.	pvp1454
1.101.O.	pvp1454
1.084.O.	pvp1454
1.091.O.	pvp1454
12G01.O.	pvp1454
1.003.O.	pvp1455
1.090.B.	pvp1455
1.039.O.	pvp1455
1.079.O.	pvp1455
1.036.O.	pvp1455
1.091.O.	pvp1455
12G01.O.	pvp1455
1.067.O.	pvp1455
1.061.O.	pvp1455
1.003.O.	pvp1456
1.039.O.	pvp1456
1.090.B.	pvp1456
1.079.O.	pvp1456
1.036.O.	pvp1456
1.091.O.	pvp1456
12G01.O.	pvp1456
1.067.O.	pvp1456
1.061.O.	pvp1456
1.003.O.	pvp1457
1.090.B.	pvp1457
1.039.O.	pvp1457
1.079.O.	pvp1457
1.036.O.	pvp1457
1.091.O.	pvp1457
12G01.O.	pvp1457
1.067.O.	pvp1457
1.061.O.	pvp1457
1.085.O.	pvp1458
1.206.O.	pvp1458
1.127.O.	pvp1458
1.213.O.	pvp1458
2.095.A.	pvp1458
1.110.O.	pvp1458
1.233.B.	pvp1458
1.233.A.	pvp1458
2.095.B.	pvp1458
1.003.O.	pvp1459
1.036.O.	pvp1459
1.090.B.	pvp1459
1.039.O.	pvp1459
1.079.O.	pvp1459
1.091.O.	pvp1459
12G01.O.	pvp1459
1.067.O.	pvp1459
1.061.O.	pvp1459
1.175.O.	pvp1460
1.198.A.	pvp1460
1.124.O.	pvp1460
1.158.O.	pvp1460
1.198.B.	pvp1460
1.263.A.	pvp1460
1.009.O.	pvp1460
1.086.O.	pvp1460
1.263.B.	pvp1460
1.175.O.	pvp1461
1.269.O.	pvp1461
1.118.A.	pvp1461
1.118.B.	pvp1461
1.158.O.	pvp1461
1.285.O.	pvp1461
1.088.O.	pvp1461
1.023.O.	pvp1461
1.195.O.	pvp1461
1.179.O.	pvp1462
1.257.O.	pvp1462
1.185.O.	pvp1462
1.021.B.	pvp1462
1.021.C.	pvp1462
1.021.A.	pvp1462
1.138.O.	pvp1462
1.182.O.	pvp1462
1.254.O.	pvp1462
1.174.O.	pvp1463
1.181.O.	pvp1463
1.017.O.	pvp1463
1.094.O.	pvp1463
1.075.O.	pvp1463
1.124.O.	pvp1463
1.225.O.	pvp1463
1.005.O.	pvp1463
1.093.O.	pvp1463
1.159.O.	pvp1464
1.028.O.	pvp1464
1.136.O.	pvp1464
2.159.A.	pvp1464
2.159.B.	pvp1464
1.156.O.	pvp1464
1.217.O.	pvp1464
1.219.O.	pvp1464
1.142.O.	pvp1464
1.159.O.	pvp1465
1.028.O.	pvp1465
1.136.O.	pvp1465
2.159.A.	pvp1465
2.159.B.	pvp1465
1.156.O.	pvp1465
1.217.O.	pvp1465
1.219.O.	pvp1465
1.142.O.	pvp1465
1.159.O.	pvp1466
1.028.O.	pvp1466
1.136.O.	pvp1466
2.159.A.	pvp1466
2.159.B.	pvp1466
1.156.O.	pvp1466
1.217.O.	pvp1466
1.219.O.	pvp1466
1.142.O.	pvp1466
1.159.O.	pvp1467
1.028.O.	pvp1467
1.136.O.	pvp1467
2.159.A.	pvp1467
2.159.B.	pvp1467
1.156.O.	pvp1467
1.217.O.	pvp1467
1.219.O.	pvp1467
1.142.O.	pvp1467
1.159.O.	pvp1468
1.028.O.	pvp1468
1.136.O.	pvp1468
2.159.A.	pvp1468
2.159.B.	pvp1468
1.156.O.	pvp1468
1.217.O.	pvp1468
1.219.O.	pvp1468
1.142.O.	pvp1468
1.159.O.	pvp1469
1.028.O.	pvp1469
1.136.O.	pvp1469
2.159.A.	pvp1469
2.159.B.	pvp1469
1.156.O.	pvp1469
1.217.O.	pvp1469
1.219.O.	pvp1469
1.142.O.	pvp1469
1.159.O.	pvp1470
1.028.O.	pvp1470
1.136.O.	pvp1470
2.159.A.	pvp1470
2.159.B.	pvp1470
1.156.O.	pvp1470
1.217.O.	pvp1470
1.219.O.	pvp1470
1.142.O.	pvp1470
1.159.O.	pvp1471
1.028.O.	pvp1471
1.136.O.	pvp1471
2.159.A.	pvp1471
2.159.B.	pvp1471
1.156.O.	pvp1471
1.217.O.	pvp1471
1.219.O.	pvp1471
1.142.O.	pvp1471
1.159.O.	pvp1472
1.028.O.	pvp1472
1.136.O.	pvp1472
2.159.A.	pvp1472
2.159.B.	pvp1472
1.156.O.	pvp1472
1.217.O.	pvp1472
1.219.O.	pvp1472
1.142.O.	pvp1472
1.159.O.	pvp1473
1.028.O.	pvp1473
1.136.O.	pvp1473
2.159.A.	pvp1473
2.159.B.	pvp1473
1.156.O.	pvp1473
1.217.O.	pvp1473
1.219.O.	pvp1473
1.142.O.	pvp1473
1.159.O.	pvp1474
1.028.O.	pvp1474
1.136.O.	pvp1474
2.159.A.	pvp1474
2.159.B.	pvp1474
1.156.O.	pvp1474
1.217.O.	pvp1474
1.219.O.	pvp1474
1.142.O.	pvp1474
1.159.O.	pvp1475
1.028.O.	pvp1475
1.136.O.	pvp1475
2.159.A.	pvp1475
2.159.B.	pvp1475
1.156.O.	pvp1475
1.217.O.	pvp1475
1.219.O.	pvp1475
1.142.O.	pvp1475
1.159.O.	pvp1476
1.028.O.	pvp1476
1.136.O.	pvp1476
2.159.A.	pvp1476
2.159.B.	pvp1476
1.156.O.	pvp1476
1.217.O.	pvp1476
1.219.O.	pvp1476
1.142.O.	pvp1476
1.159.O.	pvp1477
1.028.O.	pvp1477
1.136.O.	pvp1477
2.159.A.	pvp1477
2.159.B.	pvp1477
1.156.O.	pvp1477
1.217.O.	pvp1477
1.219.O.	pvp1477
1.142.O.	pvp1477
1.159.O.	pvp1478
1.028.O.	pvp1478
1.136.O.	pvp1478
2.159.A.	pvp1478
2.159.B.	pvp1478
1.156.O.	pvp1478
1.217.O.	pvp1478
1.219.O.	pvp1478
1.142.O.	pvp1478
1.159.O.	pvp1479
1.028.O.	pvp1479
1.136.O.	pvp1479
2.159.A.	pvp1479
2.159.B.	pvp1479
1.217.O.	pvp1479
1.156.O.	pvp1479
1.219.O.	pvp1479
1.142.O.	pvp1479
1.159.O.	pvp1480
1.028.O.	pvp1480
1.136.O.	pvp1480
2.159.A.	pvp1480
2.159.B.	pvp1480
1.156.O.	pvp1480
1.217.O.	pvp1480
1.219.O.	pvp1480
1.142.O.	pvp1480
1.159.O.	pvp1481
1.028.O.	pvp1481
1.136.O.	pvp1481
2.159.A.	pvp1481
2.159.B.	pvp1481
1.156.O.	pvp1481
1.217.O.	pvp1481
1.219.O.	pvp1481
1.142.O.	pvp1481
1.159.O.	pvp1482
1.028.O.	pvp1482
1.136.O.	pvp1482
2.159.A.	pvp1482
2.159.B.	pvp1482
1.156.O.	pvp1482
1.217.O.	pvp1482
1.219.O.	pvp1482
1.142.O.	pvp1482
1.159.O.	pvp1483
1.028.O.	pvp1483
1.136.O.	pvp1483
2.159.A.	pvp1483
2.159.B.	pvp1483
1.156.O.	pvp1483
1.217.O.	pvp1483
1.219.O.	pvp1483
1.142.O.	pvp1483
1.159.O.	pvp1484
1.028.O.	pvp1484
1.136.O.	pvp1484
2.159.A.	pvp1484
2.159.B.	pvp1484
1.156.O.	pvp1484
1.217.O.	pvp1484
1.219.O.	pvp1484
1.142.O.	pvp1484
1.159.O.	pvp1485
1.028.O.	pvp1485
1.136.O.	pvp1485
2.159.A.	pvp1485
2.159.B.	pvp1485
1.156.O.	pvp1485
1.217.O.	pvp1485
1.219.O.	pvp1485
1.142.O.	pvp1485
1.159.O.	pvp1486
1.028.O.	pvp1486
1.136.O.	pvp1486
2.159.A.	pvp1486
2.159.B.	pvp1486
1.156.O.	pvp1486
1.217.O.	pvp1486
1.219.O.	pvp1486
1.142.O.	pvp1486
1.159.O.	pvp1487
1.028.O.	pvp1487
1.136.O.	pvp1487
2.159.A.	pvp1487
2.159.B.	pvp1487
1.156.O.	pvp1487
1.217.O.	pvp1487
1.219.O.	pvp1487
1.142.O.	pvp1487
1.159.O.	pvp1488
1.028.O.	pvp1488
1.136.O.	pvp1488
2.159.A.	pvp1488
2.159.B.	pvp1488
1.156.O.	pvp1488
1.217.O.	pvp1488
1.219.O.	pvp1488
1.142.O.	pvp1488
1.159.O.	pvp1489
1.028.O.	pvp1489
1.136.O.	pvp1489
2.159.A.	pvp1489
2.159.B.	pvp1489
1.156.O.	pvp1489
1.217.O.	pvp1489
1.219.O.	pvp1489
1.142.O.	pvp1489
1.159.O.	pvp1490
1.028.O.	pvp1490
1.136.O.	pvp1490
2.159.A.	pvp1490
2.159.B.	pvp1490
1.156.O.	pvp1490
1.217.O.	pvp1490
1.219.O.	pvp1490
1.142.O.	pvp1490
1.159.O.	pvp1491
1.028.O.	pvp1491
1.136.O.	pvp1491
2.159.A.	pvp1491
2.159.B.	pvp1491
1.156.O.	pvp1491
1.217.O.	pvp1491
1.219.O.	pvp1491
1.142.O.	pvp1491
1.159.O.	pvp1492
1.028.O.	pvp1492
1.136.O.	pvp1492
2.159.A.	pvp1492
2.159.B.	pvp1492
1.156.O.	pvp1492
1.217.O.	pvp1492
1.219.O.	pvp1492
1.142.O.	pvp1492
1.159.O.	pvp1493
1.028.O.	pvp1493
2.159.A.	pvp1493
2.159.B.	pvp1493
1.156.O.	pvp1493
1.217.O.	pvp1493
1.136.O.	pvp1493
1.219.O.	pvp1493
1.142.O.	pvp1493
1.159.O.	pvp1494
1.028.O.	pvp1494
1.136.O.	pvp1494
2.159.A.	pvp1494
2.159.B.	pvp1494
1.156.O.	pvp1494
1.217.O.	pvp1494
1.219.O.	pvp1494
1.142.O.	pvp1494
1.159.O.	pvp1495
1.028.O.	pvp1495
1.136.O.	pvp1495
2.159.A.	pvp1495
2.159.B.	pvp1495
1.156.O.	pvp1495
1.217.O.	pvp1495
1.219.O.	pvp1495
1.142.O.	pvp1495
1.159.O.	pvp1496
1.028.O.	pvp1496
1.136.O.	pvp1496
2.159.A.	pvp1496
2.159.B.	pvp1496
1.156.O.	pvp1496
1.217.O.	pvp1496
1.219.O.	pvp1496
1.142.O.	pvp1496
1.159.O.	pvp1497
1.028.O.	pvp1497
1.136.O.	pvp1497
2.159.A.	pvp1497
2.159.B.	pvp1497
1.156.O.	pvp1497
1.217.O.	pvp1497
1.219.O.	pvp1497
1.142.O.	pvp1497
1.159.O.	pvp1498
1.028.O.	pvp1498
1.136.O.	pvp1498
2.159.A.	pvp1498
2.159.B.	pvp1498
1.156.O.	pvp1498
1.217.O.	pvp1498
1.219.O.	pvp1498
1.142.O.	pvp1498
1.087.A.	pvp1499
1.030.O.	pvp1499
1.093.O.	pvp1499
1.017.O.	pvp1499
1.094.O.	pvp1499
1.075.O.	pvp1499
1.197.A.	pvp1499
1.236.O.	pvp1499
1.265.O.	pvp1499
1.147.O.	pvp1500
1.162.O.	pvp1500
1.064.O.	pvp1500
1.165.O.	pvp1500
1.148.O.	pvp1500
1.131.O.	pvp1500
1.108.O.	pvp1500
1.115.A.	pvp1500
1.115.B.	pvp1500
1.147.O.	pvp1501
1.133.O.	pvp1501
1.242.O.	pvp1501
1.162.O.	pvp1501
1.131.O.	pvp1501
1.167.O.	pvp1501
1.168.O.	pvp1501
1.208.B.	pvp1501
1.293.O.	pvp1501
1.147.O.	pvp1502
1.162.O.	pvp1502
1.182.O.	pvp1502
1.110.O.	pvp1502
1.240.O.	pvp1502
1.085.O.	pvp1502
1.157.O.	pvp1502
1.228.O.	pvp1502
1.082.O.	pvp1502
1.063.O.	pvp1503
1.097.O.	pvp1503
2.130.O.	pvp1503
1.081.O.	pvp1503
1.161.O.	pvp1503
1.025.O.	pvp1503
1.152.O.	pvp1503
1.026.O.	pvp1503
1.150.O.	pvp1503
1.063.O.	pvp1504
1.084.O.	pvp1504
1.187.O.	pvp1504
1.161.O.	pvp1504
1.121.O.	pvp1504
1.170.O.	pvp1504
1.101.O.	pvp1504
1.205.O.	pvp1504
1.193.O.	pvp1504
1.137.O.	pvp1505
1.119.O.	pvp1505
1.231.O.	pvp1505
1.143.O.	pvp1505
1.247.B.	pvp1505
1.247.A.	pvp1505
1.111.B.	pvp1505
1.111.A.	pvp1505
1.112.O.	pvp1505
1.097.O.	pvp1506
2.130.O.	pvp1506
1.238.B.	pvp1506
1.238.A.	pvp1506
1.245.O.	pvp1506
1.025.O.	pvp1506
1.152.O.	pvp1506
1.026.O.	pvp1506
1.150.O.	pvp1506
1.097.O.	pvp1507
2.130.O.	pvp1507
1.238.B.	pvp1507
1.238.A.	pvp1507
1.245.O.	pvp1507
1.025.O.	pvp1507
1.152.O.	pvp1507
1.026.O.	pvp1507
1.150.O.	pvp1507
1.097.O.	pvp1508
2.130.O.	pvp1508
1.238.B.	pvp1508
1.238.A.	pvp1508
1.245.O.	pvp1508
1.026.O.	pvp1508
1.152.O.	pvp1508
1.025.O.	pvp1508
1.150.O.	pvp1508
1.097.O.	pvp1509
2.130.O.	pvp1509
1.238.B.	pvp1509
1.238.A.	pvp1509
1.245.O.	pvp1509
1.152.O.	pvp1509
1.025.O.	pvp1509
1.026.O.	pvp1509
1.150.O.	pvp1509
1.097.O.	pvp1510
2.130.O.	pvp1510
1.238.B.	pvp1510
1.238.A.	pvp1510
1.245.O.	pvp1510
1.025.O.	pvp1510
1.152.O.	pvp1510
1.026.O.	pvp1510
1.150.O.	pvp1510
1.097.O.	pvp1511
2.130.O.	pvp1511
1.238.B.	pvp1511
1.238.A.	pvp1511
1.245.O.	pvp1511
1.152.O.	pvp1511
1.025.O.	pvp1511
1.026.O.	pvp1511
1.150.O.	pvp1511
1.097.O.	pvp1512
2.130.O.	pvp1512
1.238.B.	pvp1512
1.238.A.	pvp1512
1.245.O.	pvp1512
1.152.O.	pvp1512
1.025.O.	pvp1512
1.026.O.	pvp1512
1.150.O.	pvp1512
1.149.O.	pvp1513
1.007.O.	pvp1513
1.286.O.	pvp1513
1.263.A.	pvp1513
1.199.B.	pvp1513
1.199.A.	pvp1513
1.278.O.	pvp1513
1.248.O.	pvp1513
1.263.B.	pvp1513
1.093.O.	pvp1514
1.075.O.	pvp1514
1.017.O.	pvp1514
1.094.O.	pvp1514
1.225.O.	pvp1514
1.086.O.	pvp1514
1.005.O.	pvp1514
1.201.B.	pvp1514
1.087.A.	pvp1514
1.093.O.	pvp1515
1.017.O.	pvp1515
1.094.O.	pvp1515
1.075.O.	pvp1515
1.124.O.	pvp1515
1.225.O.	pvp1515
1.086.O.	pvp1515
1.201.B.	pvp1515
1.246.O.	pvp1515
1.016.O.	pvp1516
1.071.A.	pvp1516
1.275.O.	pvp1516
1.079.O.	pvp1516
1.039.O.	pvp1516
1.144.O.	pvp1516
1.061.O.	pvp1516
1.205.O.	pvp1516
1.112.O.	pvp1516
1.154.O.	pvp1517
1.122.B.	pvp1517
1.122.A.	pvp1517
1.247.A.	pvp1517
1.247.B.	pvp1517
1.076.O.	pvp1517
1.038.O.	pvp1517
1.029.O.	pvp1517
1.054.O.	pvp1517
1.198.B.	pvp1518
1.198.A.	pvp1518
1.178.O.	pvp1518
1.206.O.	pvp1518
1.233.B.	pvp1518
1.233.A.	pvp1518
1.265.O.	pvp1518
1.236.O.	pvp1518
1.135.O.	pvp1518
1.206.O.	pvp1519
1.228.O.	pvp1519
1.110.O.	pvp1519
1.064.O.	pvp1519
1.157.O.	pvp1519
1.131.O.	pvp1519
1.182.O.	pvp1519
1.108.O.	pvp1519
1.239.O.	pvp1519
1.169.O.	pvp1520
1.188.A.	pvp1520
1.188.B.	pvp1520
1.224.A.	pvp1520
1.261.O.	pvp1520
1.238.B.	pvp1520
1.238.A.	pvp1520
1.245.O.	pvp1520
1.188.C.	pvp1520
1.169.O.	pvp1521
1.188.A.	pvp1521
1.188.B.	pvp1521
1.261.O.	pvp1521
1.224.A.	pvp1521
1.238.B.	pvp1521
1.238.A.	pvp1521
1.245.O.	pvp1521
1.188.C.	pvp1521
1.169.O.	pvp1522
1.188.A.	pvp1522
1.188.B.	pvp1522
1.224.A.	pvp1522
1.261.O.	pvp1522
1.245.O.	pvp1522
1.238.B.	pvp1522
1.238.A.	pvp1522
1.188.C.	pvp1522
1.169.O.	pvp1523
1.188.A.	pvp1523
1.224.A.	pvp1523
1.188.B.	pvp1523
1.261.O.	pvp1523
1.245.O.	pvp1523
1.238.B.	pvp1523
1.238.A.	pvp1523
1.188.C.	pvp1523
1.169.O.	pvp1524
1.188.A.	pvp1524
1.224.A.	pvp1524
1.188.B.	pvp1524
1.261.O.	pvp1524
1.238.B.	pvp1524
1.238.A.	pvp1524
1.245.O.	pvp1524
1.188.C.	pvp1524
1.169.O.	pvp1525
1.188.A.	pvp1525
1.261.O.	pvp1525
1.188.B.	pvp1525
1.224.A.	pvp1525
1.238.B.	pvp1525
1.238.A.	pvp1525
1.245.O.	pvp1525
1.188.C.	pvp1525
1.169.O.	pvp1526
1.188.A.	pvp1526
1.188.B.	pvp1526
1.224.A.	pvp1526
1.261.O.	pvp1526
1.121.O.	pvp1526
1.031.O.	pvp1526
1.193.O.	pvp1526
1.188.C.	pvp1526
1.169.O.	pvp1527
1.224.A.	pvp1527
1.188.B.	pvp1527
1.188.A.	pvp1527
1.261.O.	pvp1527
1.245.O.	pvp1527
1.238.B.	pvp1527
1.238.A.	pvp1527
1.188.C.	pvp1527
1.169.O.	pvp1528
1.188.A.	pvp1528
1.188.B.	pvp1528
1.224.A.	pvp1528
1.261.O.	pvp1528
1.245.O.	pvp1528
1.238.B.	pvp1528
1.238.A.	pvp1528
1.188.C.	pvp1528
1.115.B.	pvp1529
1.115.A.	pvp1529
1.206.O.	pvp1529
1.131.O.	pvp1529
1.189.B.	pvp1529
1.189.O.	pvp1529
1.189.C.	pvp1529
1.285.O.	pvp1529
1.184.A.	pvp1529
1.101.O.	pvp1530
1.118.A.	pvp1530
1.118.B.	pvp1530
1.089.O.	pvp1530
1.237.B.	pvp1530
1.098.O.	pvp1530
1.160.O.	pvp1530
1.237.A.	pvp1530
1.012.O.	pvp1530
1.209.O.	pvp1531
1.139.A.	pvp1531
1.253.O.	pvp1531
1.264.O.	pvp1531
1.034.X.	pvp1531
1.034.O.	pvp1531
1.139.B.	pvp1531
1.015.O.	pvp1531
1.235.O.	pvp1531
1.193.O.	pvp1532
1.084.O.	pvp1532
1.161.O.	pvp1532
1.121.O.	pvp1532
1.170.O.	pvp1532
1.121.O.	pvp1533
1.063.O.	pvp1533
1.111.A.	pvp1533
1.111.B.	pvp1533
1.170.O.	pvp1533
1.084.O.	pvp1533
2.044.O.	pvp1534
1.066.O.	pvp1534
1.231.O.	pvp1534
1.127.O.	pvp1534
1.119.O.	pvp1534
1.143.O.	pvp1534
1.068.O.	pvp1534
1.056.O.	pvp1534
2.044.O.	pvp1535
1.072.O.	pvp1535
1.066.O.	pvp1535
1.037.O.	pvp1535
1.004.O.	pvp1535
1.068.O.	pvp1535
1.056.O.	pvp1535
1.205.O.	pvp1535
2.058.O.	pvp1536
1.261.O.	pvp1536
1.169.O.	pvp1536
1.188.A.	pvp1536
1.188.B.	pvp1536
1.224.A.	pvp1536
3.058.O.	pvp1536
1.188.C.	pvp1536
1.003.O.	pvp1537
1.143.O.	pvp1537
1.231.O.	pvp1537
1.119.O.	pvp1537
1.276.O.	pvp1537
1.265.O.	pvp1537
1.135.O.	pvp1537
1.042.O.	pvp1537
1.003.O.	pvp1538
1.178.O.	pvp1538
1.184.A.	pvp1538
1.265.O.	pvp1538
1.052.A.	pvp1538
1.183.O.	pvp1538
1.211.B.	pvp1538
1.211.A.	pvp1538
1.085.O.	pvp1539
1.206.O.	pvp1539
1.165.O.	pvp1539
1.082.O.	pvp1539
1.240.O.	pvp1539
1.074.O.	pvp1539
1.134.O.	pvp1539
1.133.O.	pvp1539
1.097.O.	pvp1540
1.238.B.	pvp1540
1.216.O.	pvp1540
1.151.O.	pvp1540
1.213.O.	pvp1540
1.259.O.	pvp1540
1.238.A.	pvp1540
1.245.O.	pvp1540
